micro_id,status,notes
M058,已人工复核,补齐前缀平均的逐通道例子、信息损失和维度错误
M063,已人工复核,逐项核对字幕中的14和16点积计算并补齐shape
M065,已人工复核,补齐下三角逐行归一化、广播方向和静默逻辑错误
M067,已人工复核,补齐两行实现的语法数学模型三层作用与运行断言
M077,已人工复核,结合字幕补齐n_embd重构前后代码、参数shape和错误后果
M084,已人工复核,补齐零分数为何产生均匀权重及内容相关权重例子
M095,已人工复核,补齐自回归有向图、邻接矩阵与未来泄漏后果
M096,已人工复核,补齐置换等变性及位置编码、mask、QK职责边界
M114,已人工复核,区分优化困难与过拟合并补齐梯度连乘直觉
M117,已人工复核,补齐I加局部梯度、恒等路径实验和适用边界
M056,已人工复核,核对BTC玩具张量、随机数据用途和因果通信目标
M057,已人工复核,核对前缀可见范围、batch隔离和causal定义
M059,已人工复核,核对xbow预分配、双循环索引及写反后果
M060,已人工复核,核对t加一切片、mean维度、shape和数字例子
M061,已人工复核,核对运行输出的首行与次行前缀平均验证
M062,已人工复核,核对矩阵乘法行列点积与中间维消除
M064,已人工复核,核对下三角逐行前缀和及主对角线含义
M066,已人工复核,核对权重行对各通道分别加权且保留C维
M068,已人工复核,核对TT与BTC批量矩阵乘法和batch广播
M069,已人工复核,核对allclose用途与浮点舍入误差说明
M070,已人工复核,修正batch不只并行并核对样本间不通信
M071,已人工复核,核对零分数到mask加softmax的实现过渡
M072,已人工复核,核对负无穷屏蔽与填零仍有概率的区别
M073,已人工复核,核对softmax最后一维、行归一化及错误方向
M074,已人工复核,核对affinity由固定零分数升级为输入相关分数
M075,已人工复核,核对权重路线与实际被传输特征的职责区别
M076,已人工复核,核对三种前缀平均到QK和V的演进关系
M078,已人工复核,核对lm_head只变换末维并返回词表logits
M079,已人工复核,核对同名C在embedding维与类别维的语义差别
M080,已人工复核,核对position embedding表的行列含义
M081,已人工复核,核对arange位置索引、实际T和device约束
M082,已人工复核,核对BTC加TC的batch广播和内容独立性
M083,已人工复核,核对仅有位置向量但没有跨位置通信的限制
M085,已人工复核,核对QK匹配直觉、参数学习及self同源含义
M086,已人工复核,核对QK点积分数、正负取值和最小数字例子
M087,已人工复核,核对线性投影的语法数学模型作用及BTH shape
M088,已人工复核,核对key转置、两个T的角色和错误转置后果
M089,已人工复核,核对共享参数与输入相关注意力权重的区别
M090,已人工复核,核对元音辅音类比边界及非人工规则说明
M091,已人工复核,核对raw score与概率、mask及输出的区别
M092,已人工复核,核对mask先于softmax、负无穷和未来泄漏
M093,已人工复核,核对QK路线、V内容、加权聚合和输出shape
M094,已人工复核,核对有向图动态边权与wei乘v消息传递
M097,已人工复核,核对每个batch独立生成TT关系图和泄漏后果
M098,已人工复核,核对encoder与decoder式self attention的mask差异
M099,已人工复核,核对self与cross attention的QKV数据来源
M100,已人工复核,核对点积方差随H增长及根号H缩放
M101,已人工复核,核对分数尺度、softmax尖锐程度和常见误区
M001,已人工复核,核对ChatGPT演示、逐token生成及界面证据边界
M002,已人工复核,核对概率生成、重复提示差异和确定性解码例外
M003,已人工复核,核对趣味任务仅用于展示文本任务多样性
M004,已人工复核,核对语言模型的序列补全视角和token表述
M005,已人工复核,核对Transformer论文与ChatGPT核心架构关系
M006,已人工复核,核对机器翻译背景与架构通用化的历史说明
M007,已人工复核,核对课程范围、生产系统差距和不实现内容
M008,已人工复核,核对tiny Shakespeare大小、内容和选择原因
M009,已人工复核,核对字符级监督关系与自回归生成预览
M010,已人工复核,核对nanoGPT文件角色、GPT2验证和token差异
M011,已人工复核,核对从空文件构建目标、前置要求及教材补充
M012,已人工复核,核对下载读取、UTF8、字符数和数据预览操作
M013,已人工复核,核对set去重、sorted稳定顺序和65字符词表
M014,已人工复核,核对tokenizer输入输出及表示转换边界
M015,已人工复核,核对stoi itos建立、encode decode和往返验证
M016,已人工复核,核对字符与subword方案、GPT2词表和序列长度
M017,已人工复核,核对小词表长序列与大词表短序列的权衡
M018,已人工复核,核对long tensor、连续九一切分和泄漏边界
M019,已人工复核,核对全文不可一次输入、block size和计算成本
M020,已人工复核,核对block size加一及输入目标切片所需长度
M021,已人工复核,核对九个token打包八个上下文目标关系
M022,已人工复核,核对x y错位切片、shape和写错后的监督错误
M023,已人工复核,核对逐位置context target打印与右端切片
M024,已人工复核,核对训练不同上下文长度的推理和效率原因
