micro_id,start,end,title,content_type,chapter,learning_goal,handling
M001,00:00:00,00:00:36,观察 ChatGPT 从左到右生成文本,演示,01-课程介绍与数据准备,理解：观察 ChatGPT 从左到右生成文本,正文讲解
M002,00:00:36,00:01:03,同一提示为什么会得到不同回答,概念,01-课程介绍与数据准备,理解：同一提示为什么会得到不同回答,正文讲解
M003,00:01:03,00:01:38,从趣味案例认识文本任务的多样性,演示,01-课程介绍与数据准备,理解：从趣味案例认识文本任务的多样性,正文讲解
M004,00:01:38,00:02:07,语言模型就是序列补全器,概念,01-课程介绍与数据准备,理解：语言模型就是序列补全器,正文讲解
M005,00:02:07,00:02:44,ChatGPT 底层为什么是 Transformer,概念,01-课程介绍与数据准备,理解：ChatGPT 底层为什么是 Transformer,正文讲解
M006,00:02:44,00:03:13,机器翻译论文如何成为通用架构,背景,01-课程介绍与数据准备,理解：机器翻译论文如何成为通用架构,正文讲解
M007,00:03:13,00:03:52,本课不复现 ChatGPT 而是学习核心机制,目标,01-课程介绍与数据准备,理解：本课不复现 ChatGPT 而是学习核心机制,正文讲解
M008,00:03:52,00:04:16,选择 tiny Shakespeare 作为玩具数据集,数据,01-课程介绍与数据准备,理解：选择 tiny Shakespeare 作为玩具数据集,正文讲解
M009,00:04:16,00:05:21,字符级下一个字符预测与生成预览,任务与演示,01-课程介绍与数据准备,理解：字符级下一个字符预测与生成预览,正文讲解
M010,00:05:21,00:06:25,nanoGPT 的两个核心文件与 GPT-2 验证,代码背景,01-课程介绍与数据准备,理解：nanoGPT 的两个核心文件与 GPT-2 验证,正文讲解
M011,00:06:25,00:07:29,从空文件构建 Transformer 与前置要求,学习路线,01-课程介绍与数据准备,理解：从空文件构建 Transformer 与前置要求,正文讲解
M012,00:07:29,00:08:34,在 Colab 下载、读取并检查原始文本,代码与运行结果,02-字符编码与训练数据,理解：在 Colab 下载、读取并检查原始文本,正文讲解
M013,00:08:34,00:09:36,用 set 与 sorted 建立 65 字符词表,代码与数据,02-字符编码与训练数据,理解：用 set 与 sorted 建立 65 字符词表,正文讲解
M014,00:09:36,00:10:20,Tokenizer 为什么要把字符串变成整数,概念与代码,02-字符编码与训练数据,理解：Tokenizer 为什么要把字符串变成整数,正文讲解
M015,00:10:20,00:11:43,建立 stoi 与 itos 双向查找表,代码,02-字符编码与训练数据,理解：建立 stoi 与 itos 双向查找表,正文讲解
M016,00:11:43,00:12:05,字符级与 subword 分词器有什么不同,概念对比,02-字符编码与训练数据,理解：字符级与 subword 分词器有什么不同,正文讲解
M017,00:12:05,00:12:45,词表大小与序列长度之间的权衡,设计权衡,02-字符编码与训练数据,理解：词表大小与序列长度之间的权衡,正文讲解
M018,00:12:45,00:13:48,把全文编码为 tensor 并划分训练验证集,代码与数据,02-字符编码与训练数据,理解：把全文编码为 tensor 并划分训练验证集,正文讲解
M019,00:13:48,00:14:50,为什么不能一次喂入全文及 block_size 的作用,概念与参数,02-字符编码与训练数据,理解：为什么不能一次喂入全文及 block_size 的作用,正文讲解
M020,00:14:50,00:15:26,为什么抽取 block_size 加一的字符,数据构造,02-字符编码与训练数据,理解：为什么抽取 block_size 加一的字符,正文讲解
M021,00:15:26,00:15:52,一个长度九的片段如何打包八个样本,样本推导,02-字符编码与训练数据,理解：一个长度九的片段如何打包八个样本,正文讲解
M022,00:15:52,00:16:30,构造偏移一位的输入 x 与目标 y,代码,02-字符编码与训练数据,理解：构造偏移一位的输入 x 与目标 y,正文讲解
M023,00:16:30,00:16:56,逐位置打印 context 与 target,运行结果,02-字符编码与训练数据,理解：逐位置打印 context 与 target,正文讲解
M024,00:16:56,00:17:32,训练不同长度上下文的两个原因,设计解释,02-字符编码与训练数据,理解：训练不同长度上下文的两个原因,正文讲解
M025,00:17:32,00:17:58,引入 batch 维并保持样本隔离,概念与shape,02-字符编码与训练数据,理解：引入 batch 维并保持样本隔离,正文讲解
M026,00:17:58,00:18:44,get_batch 随机选择起始位置,代码,02-字符编码与训练数据,理解：get_batch 随机选择起始位置,正文讲解
M027,00:18:44,00:19:28,stack 如何得到 B×T 输入和目标,代码与shape,02-字符编码与训练数据,理解：stack 如何得到 B×T 输入和目标,正文讲解
M028,00:19:28,00:20:10,打印 batch 并识别 32 个训练位置,运行结果,02-字符编码与训练数据,理解：打印 batch 并识别 32 个训练位置,正文讲解
M029,00:20:10,00:22:16,batch 让多条样本共同估计梯度但样本之间不通信,概念回顾,02-字符编码与训练数据,理解：batch 让多条样本共同估计梯度但样本之间不通信,正文讲解
M030,00:22:16,00:22:52,从最简单的 Bigram 神经网络开始,模型目标,03-Bigram语言模型,理解：从最简单的 Bigram 神经网络开始,正文讲解
M031,00:22:52,00:23:26,继承 nn.Module 并创建 embedding 表,代码,03-Bigram语言模型,理解：继承 nn.Module 并创建 embedding 表,正文讲解
M032,00:23:26,00:24:10,Embedding 查表如何处理 B×T 索引,代码与shape,03-Bigram语言模型,理解：Embedding 查表如何处理 B×T 索引,正文讲解
M033,00:24:10,00:24:52,把 65 维查表结果直接解释为 logits,模型含义,03-Bigram语言模型,理解：把 65 维查表结果直接解释为 logits,正文讲解
M034,00:24:52,00:25:26,Bigram 为什么只看当前 token,能力限制,03-Bigram语言模型,理解：Bigram 为什么只看当前 token,正文讲解
M035,00:25:26,00:26:02,用 cross_entropy 衡量预测错误,损失函数,03-Bigram语言模型,理解：用 cross_entropy 衡量预测错误,正文讲解
M036,00:26:02,00:26:40,cross_entropy 期望 channel 位于哪里,API与shape,03-Bigram语言模型,理解：cross_entropy 期望 channel 位于哪里,正文讲解
