micro_id,start,end,old_video_chapter,learner_chapter,learner_title,source_mode,boundary_review,review_basis
M001,00:00:00,00:00:36,01-课程介绍与数据准备,01,我们究竟要构建什么,video,增量核验,timeline+subtitle-coverage+semantic-review；检查滚动字幕跨界归属
M002,00:00:36,00:01:03,01-课程介绍与数据准备,01,我们究竟要构建什么,video,复用现有人工QA,timeline+semantic-review
M003,00:01:03,00:01:38,01-课程介绍与数据准备,01,我们究竟要构建什么,video,复用现有人工QA,timeline+semantic-review
M004,00:01:38,00:02:07,01-课程介绍与数据准备,01,我们究竟要构建什么,video,复用现有人工QA,timeline+semantic-review
M005,00:02:07,00:02:44,01-课程介绍与数据准备,01,我们究竟要构建什么,video,复用现有人工QA,timeline+semantic-review
M006,00:02:44,00:03:13,01-课程介绍与数据准备,01,我们究竟要构建什么,video,复用现有人工QA,timeline+semantic-review
M007,00:03:13,00:03:52,01-课程介绍与数据准备,01,我们究竟要构建什么,video,复用现有人工QA,timeline+semantic-review
M008,00:03:52,00:04:16,01-课程介绍与数据准备,01,我们究竟要构建什么,video,复用现有人工QA,timeline+semantic-review
M009,00:04:16,00:05:21,01-课程介绍与数据准备,01,我们究竟要构建什么,video,复用现有人工QA,timeline+semantic-review
M010,00:05:21,00:06:25,01-课程介绍与数据准备,01,我们究竟要构建什么,video,复用现有人工QA,timeline+semantic-review
M011,00:06:25,00:07:29,01-课程介绍与数据准备,01,我们究竟要构建什么,video,增量核验,timeline+subtitle-coverage+semantic-review；检查滚动字幕跨界归属
M012,00:07:29,00:08:34,02-字符编码与训练数据,02,文本如何变成数字,video,增量核验,timeline+subtitle-coverage+semantic-review；检查滚动字幕跨界归属
M013,00:08:34,00:09:36,02-字符编码与训练数据,02,文本如何变成数字,video,复用现有人工QA,timeline+semantic-review
M014,00:09:36,00:10:20,02-字符编码与训练数据,02,文本如何变成数字,video,复用现有人工QA,timeline+semantic-review
M015,00:10:20,00:11:43,02-字符编码与训练数据,02,文本如何变成数字,video,复用现有人工QA,timeline+semantic-review
