subtitle_id,start,end,micro_id,status,source_text
S0001,00:00:00.19,00:00:04.92,M001,已覆盖并人工复核,hi everyone so by now you have probably
S0002,00:00:02.52,00:00:07.56,M001,已覆盖并人工复核,heard of chat GPT it has taken the world
S0003,00:00:04.92,00:00:09.83,M001,已覆盖并人工复核,and AI Community by storm and it is a
S0004,00:00:07.55,00:00:12.83,M001,已覆盖并人工复核,system that allows you to interact with
S0005,00:00:09.83,00:00:15.08,M001,已覆盖并人工复核,an AI and give it text based tasks so
S0006,00:00:12.83,00:00:16.96,M001,已覆盖并人工复核,for example we can ask chat GPT to write
S0007,00:00:15.08,00:00:18.76,M001,已覆盖并人工复核,us a small Hau about how important it is
S0008,00:00:16.96,00:00:20.16,M001,已覆盖并人工复核,that people understand Ai and then they
S0009,00:00:18.76,00:00:23.72,M001,已覆盖并人工复核,can use it to improve the world and make
S0010,00:00:20.16,00:00:25.64,M001,已覆盖并人工复核,it more prosperous so when we run this
S0011,00:00:23.71,00:00:27.39,M001,已覆盖并人工复核,AI knowledge brings prosperity for all
S0012,00:00:25.64,00:00:29.80,M001,已覆盖并人工复核,to see Embrace its
S0013,00:00:27.39,00:00:32.00,M001,已覆盖并人工复核,power okay not bad and so you could see
S0014,00:00:29.80,00:00:35.03,M001,已覆盖并人工复核,that chpt went from left to right and
S0015,00:00:32.00,00:00:37.43,M001,已覆盖并人工复核,generated all these words SE sort of
S0016,00:00:35.03,00:00:39.60,M001,已覆盖并人工复核,sequentially now I asked it already the
S0017,00:00:37.43,00:00:41.39,M002,已覆盖并人工复核,exact same prompt a little bit earlier
S0018,00:00:39.60,00:00:44.00,M002,已覆盖并人工复核,and it generated a slightly different
S0019,00:00:41.39,00:00:47.35,M002,已覆盖并人工复核,outcome ai's power to grow ignorance
S0020,00:00:44.00,00:00:49.15,M002,已覆盖并人工复核,holds us back learn Prosperity weights
S0021,00:00:47.35,00:00:50.75,M002,已覆盖并人工复核,so uh pretty good in both cases and
S0022,00:00:49.15,00:00:52.83,M002,已覆盖并人工复核,slightly different so you can see that
S0023,00:00:50.75,00:00:54.64,M002,已覆盖并人工复核,chat GPT is a probabilistic system and
S0024,00:00:52.84,00:00:57.35,M002,已覆盖并人工复核,for any one prompt it can give us
S0025,00:00:54.64,00:00:59.75,M002,已覆盖并人工复核,multiple answers sort of uh replying to
S0026,00:00:57.35,00:01:01.44,M002,已覆盖并人工复核,it now this is just one example of a
S0027,00:00:59.75,00:01:03.23,M002,已覆盖并人工复核,problem people have come up with many
S0028,00:01:01.43,00:01:06.00,M002,已覆盖并人工复核,many examples and there are entire
S0029,00:01:03.23,00:01:08.67,M003,已覆盖并人工复核,websites that index interactions with
S0030,00:01:06.00,00:01:10.95,M003,已覆盖并人工复核,chpt and so many of them are quite
S0031,00:01:08.68,00:01:14.56,M003,已覆盖并人工复核,humorous explain HTML to me like I'm a
S0032,00:01:10.95,00:01:16.39,M003,已覆盖并人工复核,dog uh write release notes for chess 2
S0033,00:01:14.56,00:01:20.56,M003,已覆盖并人工复核,write a note about Elon Musk buying a
S0034,00:01:16.40,00:01:21.88,M003,已覆盖并人工复核,Twitter and so on so as an example uh
S0035,00:01:20.56,00:01:23.47,M003,已覆盖并人工复核,please write a breaking news article
S0036,00:01:21.87,00:01:26.56,M003,已覆盖并人工复核,about a leaf falling from a
S0037,00:01:23.47,00:01:28.03,M003,已覆盖并人工复核,tree uh and a shocking turn of events a
S0038,00:01:26.56,00:01:30.07,M003,已覆盖并人工复核,leaf has fallen from a tree in the local
S0039,00:01:28.04,00:01:31.40,M003,已覆盖并人工复核,park Witnesses report that the leaf
S0040,00:01:30.07,00:01:33.43,M003,已覆盖并人工复核,which was previously attached to a
S0041,00:01:31.40,00:01:36.28,M003,已覆盖并人工复核,branch of a tree attached itself and
S0042,00:01:33.43,00:01:37.95,M003,已覆盖并人工复核,fell to the ground very dramatic so you
S0043,00:01:36.28,00:01:40.35,M003,已覆盖并人工复核,can see that this is a pretty remarkable
S0044,00:01:37.95,00:01:43.75,M003,已覆盖并人工复核,system and it is what we call a language
S0045,00:01:40.35,00:01:46.39,M004,已覆盖并人工复核,model uh because it um it models the
S0046,00:01:43.75,00:01:49.07,M004,已覆盖并人工复核,sequence of words or characters or
S0047,00:01:46.39,00:01:50.68,M004,已覆盖并人工复核,tokens more generally and it knows how
S0048,00:01:49.07,00:01:52.91,M004,已覆盖并人工复核,sort of words follow each other in
S0049,00:01:50.68,00:01:55.52,M004,已覆盖并人工复核,English language and so from its
S0050,00:01:52.92,00:01:57.92,M004,已覆盖并人工复核,perspective what it is doing is it is
S0051,00:01:55.51,00:02:00.07,M004,已覆盖并人工复核,completing the sequence so I give it the
S0052,00:01:57.92,00:02:02.56,M004,已覆盖并人工复核,start of a sequence and it completes the
S0053,00:02:00.07,00:02:05.35,M004,已覆盖并人工复核,sequence with the outcome and so it's a
S0054,00:02:02.56,00:02:07.79,M004,已覆盖并人工复核,language model in that sense now I would
S0055,00:02:05.35,00:02:09.87,M004,已覆盖并人工复核,like to focus on the under the hood of
S0056,00:02:07.79,00:02:12.20,M005,已覆盖并人工复核,um under the hood components of what
S0057,00:02:09.87,00:02:14.35,M005,已覆盖并人工复核,makes CH GPT work so what is the neural
S0058,00:02:12.19,00:02:17.87,M005,已覆盖并人工复核,network under the hood that models the
S0059,00:02:14.36,00:02:19.44,M005,已覆盖并人工复核,sequence of these words and that comes
S0060,00:02:17.87,00:02:23.12,M005,已覆盖并人工复核,from this paper called attention is all
S0061,00:02:19.43,00:02:25.75,M005,已覆盖并人工复核,you need in 2017 a landmark paper a
S0062,00:02:23.12,00:02:27.80,M005,已覆盖并人工复核,landmark paper in AI that produced and
S0063,00:02:25.75,00:02:31.07,M005,已覆盖并人工复核,proposed the Transformer
S0064,00:02:27.80,00:02:33.40,M005,已覆盖并人工复核,architecture so GPT is uh short for
S0065,00:02:31.08,00:02:35.59,M005,已覆盖并人工复核,generally generatively pre-trained
S0066,00:02:33.40,00:02:36.95,M005,已覆盖并人工复核,Transformer so Transformer is the neuron
S0067,00:02:35.59,00:02:39.19,M005,已覆盖并人工复核,nut that actually does all the heavy
S0068,00:02:36.95,00:02:41.92,M005,已覆盖并人工复核,lifting under the hood it comes from
S0069,00:02:39.19,00:02:44.51,M005,已覆盖并人工复核,this paper in 2017 now if you read this
S0070,00:02:41.91,00:02:46.19,M005,已覆盖并人工复核,paper this uh reads like a pretty random
S0071,00:02:44.51,00:02:47.51,M006,已覆盖并人工复核,machine translation paper and that's
S0072,00:02:46.19,00:02:49.00,M006,已覆盖并人工复核,because I think the authors didn't fully
S0073,00:02:47.51,00:02:51.40,M006,已覆盖并人工复核,anticipate the impact that the
S0074,00:02:49.00,00:02:52.91,M006,已覆盖并人工复核,Transformer would have on the field and
S0075,00:02:51.40,00:02:54.84,M006,已覆盖并人工复核,this architecture that they produced in
S0076,00:02:52.91,00:02:57.31,M006,已覆盖并人工复核,the context of machine translation in
S0077,00:02:54.84,00:03:00.03,M006,已覆盖并人工复核,their case actually ended up taking over
S0078,00:02:57.31,00:03:02.67,M006,已覆盖并人工复核,uh the rest of AI in the next 5 years
S0079,00:03:00.03,00:03:05.51,M006,已覆盖并人工复核,after and so this architecture with
S0080,00:03:02.68,00:03:07.59,M006,已覆盖并人工复核,minor changes was copy pasted into a
S0081,00:03:05.51,00:03:10.40,M006,已覆盖并人工复核,huge amount of applications in AI in
S0082,00:03:07.59,00:03:13.71,M006,已覆盖并人工复核,more recent years and that includes at
S0083,00:03:10.40,00:03:15.48,M006,已覆盖并人工复核,the core of chat GPT now we are not
S0084,00:03:13.71,00:03:17.59,M007,已覆盖并人工复核,going to what I'd like to do now is I'd
S0085,00:03:15.47,00:03:19.79,M007,已覆盖并人工复核,like to build out something like chat
S0086,00:03:17.59,00:03:21.71,M007,已覆盖并人工复核,GPT but uh we're not going to be able to
S0087,00:03:19.79,00:03:23.92,M007,已覆盖并人工复核,of course reproduce chat GPT this is a
S0088,00:03:21.71,00:03:26.95,M007,已覆盖并人工复核,very serious production grade system it
S0089,00:03:23.91,00:03:29.31,M007,已覆盖并人工复核,is trained on uh a good chunk of
S0090,00:03:26.95,00:03:31.23,M007,已覆盖并人工复核,internet and then there's a lot of uh
S0091,00:03:29.31,00:03:33.39,M007,已覆盖并人工复核,pre-training and fine-tuning stages to
S0092,00:03:31.23,00:03:36.40,M007,已覆盖并人工复核,it and so it's very complicated what I'd
S0093,00:03:33.40,00:03:38.87,M007,已覆盖并人工复核,like to focus on is just to train a
S0094,00:03:36.40,00:03:40.43,M007,已覆盖并人工复核,Transformer based language model and in
S0095,00:03:38.87,00:03:43.07,M007,已覆盖并人工复核,our case it's going to be a character
S0096,00:03:40.43,00:03:45.00,M007,已覆盖并人工复核,level language model I still think that
S0097,00:03:43.08,00:03:47.23,M007,已覆盖并人工复核,is uh very educational with respect to
S0098,00:03:45.00,00:03:48.75,M007,已覆盖并人工复核,how these systems work so I don't want
S0099,00:03:47.23,00:03:51.40,M007,已覆盖并人工复核,to train on the chunk of Internet we
S0100,00:03:48.75,00:03:53.31,M007,已覆盖并人工复核,need a smaller data set in this case I
S0101,00:03:51.40,00:03:55.12,M007,已覆盖并人工复核,propose that we work with uh my favorite
S0102,00:03:53.31,00:03:57.43,M008,已覆盖并人工复核,toy data set it's called tiny
S0103,00:03:55.12,00:03:59.15,M008,已覆盖并人工复核,Shakespeare and um what it is is
S0104,00:03:57.43,00:04:00.87,M008,已覆盖并人工复核,basically it's a concatenation of all of
S0105,00:03:59.15,00:04:02.67,M008,已覆盖并人工复核,the works of sh Shakespeare in my
S0106,00:04:00.87,00:04:05.31,M008,已覆盖并人工复核,understanding and so this is all of
S0107,00:04:02.68,00:04:07.95,M008,已覆盖并人工复核,Shakespeare in a single file uh this
S0108,00:04:05.31,00:04:08.67,M008,已覆盖并人工复核,file is about 1 megab and it's just all
S0109,00:04:07.95,00:04:10.79,M008,已覆盖并人工复核,of
S0110,00:04:08.68,00:04:12.79,M008,已覆盖并人工复核,Shakespeare and what we are going to do
S0111,00:04:10.79,00:04:14.48,M008,已覆盖并人工复核,now is we're going to basically model
S0112,00:04:12.79,00:04:16.72,M008,已覆盖并人工复核,how these characters uh follow each
S0113,00:04:14.47,00:04:19.68,M008,已覆盖并人工复核,other so for example given a chunk of
S0114,00:04:16.72,00:04:22.56,M009,已覆盖并人工复核,these characters like this uh given some
S0115,00:04:19.68,00:04:24.56,M009,已覆盖并人工复核,context of characters in the past the
S0116,00:04:22.56,00:04:26.12,M009,已覆盖并人工复核,Transformer neural network will look at
S0117,00:04:24.56,00:04:28.31,M009,已覆盖并人工复核,the characters that I've highlighted and
S0118,00:04:26.12,00:04:30.36,M009,已覆盖并人工复核,is going to predict that g is likely to
S0119,00:04:28.31,00:04:31.71,M009,已覆盖并人工复核,come next in the sequence and it's going
S0120,00:04:30.36,00:04:34.36,M009,已覆盖并人工复核,to do that because we're going to train
S0121,00:04:31.72,00:04:36.63,M009,已覆盖并人工复核,that Transformer on Shakespeare and it's
S0122,00:04:34.36,00:04:39.47,M009,已覆盖并人工复核,just going to try to produce uh
S0123,00:04:36.63,00:04:40.91,M009,已覆盖并人工复核,character sequences that look like this
S0124,00:04:39.47,00:04:43.56,M009,已覆盖并人工复核,and in that process is going to model
S0125,00:04:40.91,00:04:45.27,M009,已覆盖并人工复核,all the patterns inside this data so
S0126,00:04:43.56,00:04:47.75,M009,已覆盖并人工复核,once we've trained the system i' just
S0127,00:04:45.27,00:04:49.75,M009,已覆盖并人工复核,like to give you a preview we can
S0128,00:04:47.75,00:04:51.96,M009,已覆盖并人工复核,generate infinite Shakespeare and of
S0129,00:04:49.75,00:04:53.36,M009,已覆盖并人工复核,course it's a fake thing that looks kind
S0130,00:04:51.95,00:04:55.95,M009,已覆盖并人工复核,of like
S0131,00:04:53.36,00:04:59.03,M009,已覆盖并人工复核,Shakespeare
S0132,00:04:55.95,00:05:02.87,M009,已覆盖并人工复核,um apologies for there's some Jank that
S0133,00:04:59.03,00:05:05.24,M009,已覆盖并人工复核,I'm not able to resolve in in here but
S0134,00:05:02.87,00:05:07.07,M009,已覆盖并人工复核,um you can see how this is going
S0135,00:05:05.24,00:05:09.43,M009,已覆盖并人工复核,character by character and it's kind of
S0136,00:05:07.07,00:05:12.31,M009,已覆盖并人工复核,like predicting Shakespeare like
S0137,00:05:09.43,00:05:15.56,M009,已覆盖并人工复核,language so verily my Lord the sites
S0138,00:05:12.31,00:05:19.03,M009,已覆盖并人工复核,have left the again the king coming with
S0139,00:05:15.56,00:05:21.24,M009,已覆盖并人工复核,my curses with precious pale and then
S0140,00:05:19.03,00:05:23.03,M009,已覆盖并人工复核,tranos say something else Etc and this
S0141,00:05:21.24,00:05:25.12,M010,已覆盖并人工复核,is just coming out of the Transformer in
S0142,00:05:23.03,00:05:27.68,M010,已覆盖并人工复核,a very similar manner as it would come
S0143,00:05:25.12,00:05:31.31,M010,已覆盖并人工复核,out in chat GPT in our case character by
S0144,00:05:27.68,00:05:33.28,M010,已覆盖并人工复核,character in chat GPT uh it's coming out
S0145,00:05:31.31,00:05:35.31,M010,已覆盖并人工复核,on the token by token level and tokens
S0146,00:05:33.27,00:05:36.95,M010,已覆盖并人工复核,are these sort of like little subword
S0147,00:05:35.31,00:05:38.84,M010,已覆盖并人工复核,pieces so they're not Word level they're
S0148,00:05:36.95,00:05:43.12,M010,已覆盖并人工复核,kind of like word chunk
S0149,00:05:38.83,00:05:45.23,M010,已覆盖并人工复核,level um and now I've already written
S0150,00:05:43.12,00:05:48.84,M010,已覆盖并人工复核,this entire code uh to train these
S0151,00:05:45.24,00:05:50.43,M010,已覆盖并人工复核,Transformers um and it is in a GitHub
S0152,00:05:48.83,00:05:51.75,M010,已覆盖并人工复核,repository that you can find and it's
S0153,00:05:50.43,00:05:54.36,M010,已覆盖并人工复核,called nanog
S0154,00:05:51.75,00:05:56.68,M010,已覆盖并人工复核,GPT so nanog GPT is a repository that
S0155,00:05:54.36,00:05:59.24,M010,已覆盖并人工复核,you can find in my GitHub and it's a
S0156,00:05:56.68,00:06:02.07,M010,已覆盖并人工复核,repository for training Transformers um
S0157,00:05:59.24,00:06:03.12,M010,已覆盖并人工复核,on any given text and what I think is
S0158,00:06:02.07,00:06:05.03,M010,已覆盖并人工复核,interesting about it because there's
S0159,00:06:03.12,00:06:06.91,M010,已覆盖并人工复核,many ways to train Transformers but this
S0160,00:06:05.03,00:06:10.07,M010,已覆盖并人工复核,is a very simple implementation so it's
S0161,00:06:06.91,00:06:12.47,M010,已覆盖并人工复核,just two files of 300 lines of code each
S0162,00:06:10.07,00:06:14.63,M010,已覆盖并人工复核,one file defines the GPT model the
S0163,00:06:12.47,00:06:17.03,M010,已覆盖并人工复核,Transformer and one file trains it on
S0164,00:06:14.63,00:06:18.87,M010,已覆盖并人工复核,some given Text data set and here I'm
S0165,00:06:17.03,00:06:20.27,M010,已覆盖并人工复核,showing that if you train it on a open
S0166,00:06:18.87,00:06:22.24,M010,已覆盖并人工复核,web Text data set which is a fairly
S0167,00:06:20.27,00:06:25.43,M010,已覆盖并人工复核,large data set of web pages then I
S0168,00:06:22.24,00:06:29.12,M010,已覆盖并人工复核,reproduce the the performance of
S0169,00:06:25.43,00:06:32.83,M011,已覆盖并人工复核,gpt2 so gpt2 is an early version of open
S0170,00:06:29.12,00:06:34.47,M011,已覆盖并人工复核,AI GPT uh from 2017 if I recall
S0171,00:06:32.83,00:06:36.83,M011,已覆盖并人工复核,correctly and I've only so far
S0172,00:06:34.47,00:06:38.83,M011,已覆盖并人工复核,reproduced the the smallest 124 million
S0173,00:06:36.83,00:06:39.95,M011,已覆盖并人工复核,parameter model uh but basically this is
S0174,00:06:38.83,00:06:42.83,M011,已覆盖并人工复核,just proving that the codebase is
S0175,00:06:39.95,00:06:45.35,M011,已覆盖并人工复核,correctly arranged and I'm able to load
S0176,00:06:42.83,00:06:48.27,M011,已覆盖并人工复核,the uh neural network weights that openi
S0177,00:06:45.36,00:06:50.75,M011,已覆盖并人工复核,has released later so you can take a
S0178,00:06:48.27,00:06:51.91,M011,已覆盖并人工复核,look at the finished code here in N GPT
S0179,00:06:50.75,00:06:55.12,M011,已覆盖并人工复核,but what I would like to do in this
S0180,00:06:51.91,00:06:57.31,M011,已覆盖并人工复核,lecture is I would like to basically uh
S0181,00:06:55.12,00:06:59.16,M011,已覆盖并人工复核,write this repository from scratch so
S0182,00:06:57.31,00:07:00.87,M011,已覆盖并人工复核,we're going to begin with an empty file
S0183,00:06:59.16,00:07:03.72,M011,已覆盖并人工复核,and we're we're going to define a
S0184,00:07:00.87,00:07:05.75,M011,已覆盖并人工复核,Transformer piece by piece we're going
S0185,00:07:03.72,00:07:08.40,M011,已覆盖并人工复核,to train it on the tiny Shakespeare data
